Date,Open,High,Low,Close,Increment,Return,Volume,Turnover
2010-11-04,20.8560,20.8720,20.5520,20.6510,0.0841,0.4089,"93,599,285",0
2010-11-05,20.6740,20.6890,20.1870,20.4310,-0.2207,-1.0687,"110,953,685",0
2010-11-08,20.3010,20.5830,20.2250,20.4000,-0.0311,-0.1522,"71,670,771",0
2010-11-09,20.4000,20.6280,20.3240,20.5070,0.1070,0.5245,"58,594,443",0
2010-11-10,20.5520,20.6050,20.4000,20.4990,-0.0073,-0.0356,"52,277,301",0
2010-11-11,20.3010,20.3320,19.9970,20.3010,-0.1984,-0.9678,"62,076,710",0
2010-11-12,20.1410,20.1790,19.8600,19.9890,-0.3115,-1.5344,"64,962,139",0
2010-11-15,20.0350,20.1640,19.9130,19.9350,-0.0539,-0.2696,"51,794,559",0
2010-11-16,19.9350,19.9350,19.6370,19.7600,-0.1757,-0.8813,"65,339,110",0
2010-11-17,19.8290,19.8360,19.5600,19.5760,-0.1836,-0.9292,"58,299,609",0
2010-11-18,19.6830,19.9670,19.6070,19.7830,0.2067,1.0559,"59,518,954",0
2010-11-19,19.7520,19.7750,19.5990,19.6680,-0.1148,-0.5803,"52,423,174",0
2010-11-22,19.6370,19.7060,19.4760,19.6990,0.0307,0.1561,"53,350,441",0
2010-11-23,19.5760,19.5990,19.2090,19.2320,-0.4671,-2.3712,"69,806,770",0
2010-11-24,19.2920,19.4920,19.2620,19.4230,0.1912,0.9942,"56,843,693",0
2010-11-26,19.3010,19.4540,19.2700,19.4000,-0.0231,-0.1189,"21,356,527",0
2010-11-29,19.2850,19.4610,19.0860,19.3770,-0.0229,-0.1180,"56,608,148",0
2010-11-30,19.1780,19.4990,19.1400,19.3390,-0.0381,-0.1966,"75,282,094",0
2010-12-01,19.5760,20.0970,19.5690,19.9350,0.5967,3.0855,"74,123,490",0
2010-12-02,20.0890,20.6560,20.0590,20.5870,0.6514,3.2676,"91,798,687",0
2010-12-03,20.5250,20.7170,20.5020,20.6860,0.0990,0.4809,"52,621,910",0
2010-12-06,20.6170,20.6560,20.4870,20.5480,-0.1375,-0.6647,"36,273,877",0
2010-12-07,20.7320,20.7700,20.5560,20.5710,0.0231,0.1124,"57,860,447",0
2010-12-08,20.5410,20.8540,20.5180,20.8470,0.2756,1.3397,"41,666,716",0
2010-12-09,20.8850,20.9310,20.6790,20.7320,-0.1150,-0.5516,"47,148,284",0
2010-12-10,20.8160,20.9770,20.7550,20.9310,0.1991,0.9604,"37,629,009",0
2010-12-13,20.8780,21.0150,20.8010,20.8630,-0.0686,-0.3277,"47,943,855",0
2010-12-14,20.9080,21.2450,20.8700,21.1450,0.2828,1.3555,"64,095,005",0
2010-12-15,21.0770,21.4290,21.0770,21.3220,0.1763,0.8338,"69,634,200",0
2010-12-16,21.2530,21.4290,21.1760,21.4290,0.1073,0.5032,"57,680,104",0
2010-12-17,21.3750,21.5060,21.2450,21.3600,-0.0688,-0.3211,"87,456,444",0
2010-12-20,21.3980,21.4290,21.1920,21.2910,-0.0692,-0.3240,"52,810,910",0
2010-12-21,21.3220,21.5440,21.2530,21.4900,0.1990,0.9347,"38,152,996",0
2010-12-22,21.4440,21.7430,21.4210,21.5820,0.0921,0.4286,"42,255,763",0
2010-12-23,21.4140,21.6810,21.4060,21.6660,0.0842,0.3901,"24,913,722",0
2010-12-27,21.5280,21.5890,21.3450,21.4900,-0.1763,-0.8137,"21,654,880",0
2010-12-28,21.4140,21.5670,21.4060,21.4440,-0.0462,-0.2150,"23,049,217",0
2010-12-29,21.3900,21.5280,21.3450,21.4140,-0.0301,-0.1404,"19,505,935",0
2010-12-30,21.3750,21.4360,21.2680,21.3220,-0.0920,-0.4296,"20,790,442",0
2010-12-31,21.2830,21.3750,21.1530,21.3680,0.0460,0.2157,"24,791,329",0
2011-01-03,21.4750,21.5740,21.3750,21.4210,0.0535,0.2504,"53,450,110",0
2011-01-04,21.3900,21.5670,21.3220,21.5060,0.0844,0.3940,"54,409,555",0
2011-01-05,21.3600,21.4440,21.2600,21.4360,-0.0695,-0.3232,"58,998,239",0
2011-01-06,21.4670,22.0880,21.3290,22.0640,0.6280,2.9297,"88,026,271",0
2011-01-07,21.9260,22.0030,21.6280,21.8960,-0.1679,-0.7610,"73,761,979",0
2011-01-10,21.6350,21.7430,21.4670,21.6050,-0.2914,-1.3308,"57,573,450",0
2011-01-11,21.5890,21.6280,21.4750,21.5200,-0.0843,-0.3902,"50,308,414",0
2011-01-12,21.5280,21.8880,21.4900,21.8580,0.3371,1.5664,"52,636,699",0
2011-01-13,21.6890,21.7350,21.4440,21.5820,-0.2755,-1.2604,"67,082,768",0
2011-01-14,21.4980,21.7270,21.3680,21.6660,0.0842,0.3901,"62,691,185",0
2011-01-18,21.5590,22.0030,21.5440,21.9420,0.2754,1.2711,"53,332,616",0
2011-01-19,21.7890,21.9570,21.6430,21.7960,-0.1456,-0.6636,"50,005,830",0
2011-01-20,21.8190,21.8580,21.5360,21.7050,-0.0915,-0.4198,"58,621,931",0
2011-01-21,21.7430,21.7650,21.4520,21.4520,-0.2528,-1.1647,"58,080,269",0
2011-01-24,21.4520,21.8650,21.4290,21.7270,0.2754,1.2838,"52,055,812",0
2011-01-25,21.5440,21.7810,21.5280,21.7810,0.0536,0.2467,"42,436,532",0
2011-01-26,21.8270,22.1940,21.8190,22.0330,0.2527,1.1602,"74,628,760",0
2011-01-27,22.0110,22.5540,21.8110,22.1020,0.0689,0.3127,"146,938,589",0
2011-01-28,22.1180,22.1480,21.0150,21.2450,-0.8575,-3.8797,"141,259,158",0
