#,Company,Symbol,Weight,Price,Chg,% Chg
471,Walgreens Boots Alliance,WBA,0.02%,12.16,-0.04,(-0.37%)
472,Huntington Ingalls Industries,HII,0.02%,265.3,-1.79,(-0.67%)
473,Revvity,RVTY,0.02%,89.35,-2.35,(-2.56%)
474,Mosaic Company (The),MOS,0.02%,32.5,0.04,(0.14%)
475,Molson Coors Beverage Company,TAP,0.02%,51.69,0.37,(0.73%)
476,Align Technology,ALGN,0.02%,140.87,-2.71,(-1.89%)
477,Moderna,MRNA,0.02%,26.22,-0.67,(-2.49%)
478,A. O. Smith,AOS,0.02%,71.75,-0.10,(-0.14%)
479,MGM Resorts,MGM,0.02%,36.21,-0.10,(-0.28%)
480,DaVita,DVA,0.02%,137.7,0.28,(0.21%)
481,Interpublic Group of Companies (The),IPG,0.02%,26.53,-0.08,(-0.30%)
